,second,categories
332,332,"['flooring', 'design', 'furniture']"
333,333,"['flooring', 'design', 'furniture']"
334,334,"['furniture', 'decor', 'flooring']"
335,335,"['walls', 'furniture', 'decor']"
336,336,"['walls', 'decor', 'flooring']"
337,337,"['decor', 'walls', 'flooring']"
338,338,"['decor', 'walls', 'furniture']"
339,339,"['decor', 'walls', 'flooring']"
340,340,"['decor', 'flooring', 'walls']"
341,341,"['decor', 'walls', 'furniture']"
342,342,"['walls', 'furniture', 'decor']"
343,343,"['decor', 'furniture', 'walls']"
344,344,"['flooring', 'furniture', 'decor']"
345,345,"['flooring', 'decor', 'furniture']"
346,346,"['decor', 'walls', 'furniture']"
347,347,"['walls', 'decor', 'flooring']"
348,348,"['decor', 'furniture', 'walls']"
349,349,"['decor', 'walls', 'furniture']"
350,350,"['flooring', 'decor', 'design']"
351,351,"['flooring', 'decor', 'design']"
352,352,"['flooring', 'decor', 'design']"
353,353,"['decor', 'flooring', 'design']"
354,354,"['decor', 'flooring', 'design']"
355,355,"['decor', 'flooring', 'design']"
356,356,"['decor', 'flooring', 'design']"
357,357,"['decor', 'flooring', 'design']"
358,358,"['decor', 'flooring', 'design']"
359,359,"['furniture', 'decor', 'flooring']"
360,360,"['furniture', 'decor', 'flooring']"
361,361,"['flooring', 'furniture', 'decor']"
362,362,"['furniture', 'decor', 'walls']"
363,363,"['flooring', 'furniture', 'decor']"
364,364,"['furniture', 'decor', 'flooring']"
365,365,"['furniture', 'flooring', 'decor']"
366,366,"['walls', 'furniture', 'decor']"
367,367,"['flooring', 'design', 'furniture']"
368,368,"['design', 'flooring', 'decor']"
369,369,"['design', 'flooring', 'furniture']"
370,370,"['design', 'flooring', 'furniture']"
371,371,"['design', 'flooring', 'furniture']"
372,372,"['design', 'flooring', 'furniture']"
373,373,"['design', 'flooring', 'furniture']"
374,374,"['flooring', 'furniture', 'decor']"
375,375,"['flooring', 'furniture', 'decor']"
376,376,"['flooring', 'furniture', 'decor']"
377,377,"['decor', 'walls', 'furniture']"
378,378,"['decor', 'furniture', 'flooring']"
379,379,"['decor', 'furniture', 'flooring']"
380,380,"['decor', 'walls', 'furniture']"
381,381,"['decor', 'flooring', 'windows']"
382,382,"['decor', 'windows', 'furniture']"
383,383,"['windows', 'flooring', 'decor']"
384,384,"['flooring', 'decor', 'windows']"
385,385,"['decor', 'flooring', 'windows']"
386,386,"['flooring', 'decor', 'windows']"
387,387,"['decor', 'design', 'flooring']"
388,388,"['decor', 'design', 'flooring']"
389,389,"['decor', 'design', 'flooring']"
390,390,"['decor', 'design', 'flooring']"
391,391,"['decor', 'flooring', 'design']"
392,392,"['decor', 'flooring', 'design']"
393,393,"['flooring', 'decor', 'design']"
394,394,"['flooring', 'decor', 'design']"
395,395,"['flooring', 'decor', 'design']"
396,396,"['flooring', 'decor', 'design']"
397,397,"['flooring', 'decor', 'design']"
398,398,"['flooring', 'decor', 'design']"
399,399,"['flooring', 'decor', 'design']"
400,400,"['flooring', 'decor', 'design']"
401,401,"['flooring', 'decor', 'design']"
402,402,"['furniture', 'decor', 'windows']"
403,403,"['furniture', 'decor', 'flooring']"
404,404,"['furniture', 'windows', 'decor']"
405,405,"['furniture', 'decor', 'flooring']"
406,406,"['windows', 'walls', 'decor']"
407,407,"['design', 'walls', 'decor']"
408,408,"['decor', 'walls', 'design']"
409,409,"['walls', 'decor', 'windows']"
410,410,"['furniture', 'decor', 'windows']"
411,411,"['windows', 'furniture', 'decor']"
412,412,"['decor', 'windows', 'furniture']"
413,413,"['decor', 'furniture', 'walls']"
414,414,"['decor', 'windows', 'furniture']"
415,415,"['decor', 'walls', 'flooring']"
416,416,"['furniture', 'decor', 'windows']"
417,417,"['decor', 'furniture', 'windows']"
418,418,"['furniture', 'decor', 'windows']"
419,419,"['furniture', 'windows', 'decor']"
420,420,"['furniture', 'decor', 'windows']"
421,421,"['decor', 'furniture', 'walls']"
422,422,"['furniture', 'walls', 'decor']"
423,423,"['furniture', 'decor', 'windows']"
424,424,"['decor', 'furniture', 'windows']"
425,425,"['furniture', 'decor', 'walls']"
426,426,"['decor', 'design', 'furniture']"
427,427,"['furniture', 'decor', 'walls']"
428,428,"['furniture', 'decor', 'windows']"
429,429,"['design', 'flooring', 'decor']"
430,430,"['design', 'flooring', 'decor']"
